onset(UTC)	end	source	runs	dur_h	wf	n_tgt	max%
2026-04-24 13:21	04-25 13:01	microsoft-cvrf	5	24	N	1	134.3
2026-04-25 01:09	04-25 13:01	ubuntu-cve-tracker	6	12	M+N	1	19.8
2026-04-25 18:31	04-27 02:40	debian-security-tracker	12	32	M+N	1	6.0
2026-04-30 19:01	05-01 01:30	ubuntu-cve-tracker	3	6	M+N	1	38.8
2026-05-02 07:14	05-07 01:26	debian-security-tracker	25	114	M+N	2	14.1
2026-05-05 19:16	05-06 19:43	suse-oval	5	24	N	1	7.1
2026-05-08 01:29	05-08 02:49	ubuntu-cve-tracker	2	1	M+N	2	14.5
2026-05-09 07:27	05-11 01:46	debian-security-tracker	15	42	M+N	1	5.9
2026-05-10 01:28	05-11 01:46	amazon	9	24	M+N	1	7.0
2026-05-10 18:40	05-11 01:46	suse-oval	3	7	M+N	2	100.0
2026-05-13 08:27	05-14 19:43	oracle-linux	14	35	M+N	1	7.0
2026-05-13 08:42	05-14 19:43	microsoft-cvrf	7	35	N	1	18.3
2026-05-16 07:43	05-18 03:34	amazon	14	44	M+N	1	12.4
2026-05-18 10:00	05-18 19:42	fedora-api	4	10	M+N	1	39.3
2026-05-18 19:42	05-18 19:42	microsoft-cvrf	1	0	N	1	28.2
2026-05-20 08:47	05-20 20:12	ubuntu-cve-tracker	4	11	M+N	3	39.5
2026-05-23 07:59	05-25 03:41	ubuntu-cve-tracker	16	44	M+N	1	21.7
2026-05-27 08:53	05-28 04:01	alma-errata	9	19	M+N	2	428.3
2026-05-28 19:59	05-28 20:20	rocky-errata	2	0	M+N	1	5.4
2026-05-29 08:58	05-29 09:51	suse-oval	2	1	M+N	3	13.6
2026-05-30 08:11	06-01 03:56	rocky-errata	16	44	M+N	2	34.4
2026-06-02 03:52	06-02 10:20	microsoft-cvrf	3	6	M+N	12	44.8
2026-06-04 19:49	06-08 02:08	rocky-errata	21	78	M+N	1	11.6
2026-06-06 18:58	06-08 02:08	microsoft-cvrf	11	31	M+N	13	76.3
2026-06-10 20:27	06-11 03:52	microsoft-cvrf	2	7	N	13	14.2
2026-06-11 20:19	06-11 20:19	cpe(nvd/vulncheck/jvn...)	1	0	N	1	25.3
2026-06-12 09:48	06-12 14:25	microsoft-cvrf	2	5	M	2	26.8
2026-06-13 08:41	06-14 19:24	rocky-errata	11	35	M+N	1	10.7
2026-06-14 03:57	06-14 19:24	cpe(nvd/vulncheck/jvn...)	4	15	N	1	40.1
2026-06-15 11:36	06-16 03:59	fedora-api	7	16	M+N	1	268.8
2026-06-16 10:46	06-16 20:48	microsoft-cvrf	6	10	M+N	13	46.3
2026-06-17 04:00	06-17 04:00	cpe(nvd/vulncheck/jvn...)	1	0	N	1	122.7
2026-06-17 10:19	06-17 20:09	fedora-api	6	10	M+N	1	72.5
2026-06-19 02:36	06-19 04:11	fedora-api	2	2	M+N	1	274.5
2026-06-19 10:23	06-21 19:27	cpe(nvd/vulncheck/jvn...)	11	57	N	1	18.6
2026-06-23 08:51	06-24 19:43	amazon	5	35	M+N	2	7.4
2026-06-24 03:29	06-24 19:43	cpe(nvd/vulncheck/jvn...)	4	16	N	1	18.0
2026-06-27 01:50	06-29 19:55	ubuntu-cve-tracker	12	66	M+N	1	53.3
2026-06-28 02:00	06-29 19:55	redhat-vex	8	42	M+N	5	21.9
2026-07-01 02:01	07-01 03:42	suse-oval	2	2	M+N	3	15.6
2026-07-02 13:22	07-05 19:15	microsoft-cvrf	22	78	M+N	13	53.6
2026-07-07 06:53	07-07 08:59	alma-errata	3	2	M+N	5	146.5
2026-07-07 13:58	07-07 19:52	oracle-linux	4	6	M+N	2	132.9
2026-07-08 13:19	07-09 02:51	amazon	3	14	M+N	2	6.3
2026-07-09 01:24	07-09 02:51	cpe(nvd/vulncheck/jvn...)	2	1	M+N	1	29.0
2026-07-11 01:15	07-14 08:00	ubuntu-cve-tracker	23	79	M+N	2	47.8
2026-07-11 01:15	07-15 08:06	cpe(nvd/vulncheck/jvn...)	23	103	M+N	6	305.9
2026-07-11 12:43	07-14 07:40	suse-oval	11	67	M	1	6.0
2026-07-12 07:51	07-16 18:50	microsoft-cvrf	20	107	M+N	10	55.9
2026-07-18 01:09	07-20 19:41	suse-oval	21	67	M+N	1	212.9
2026-07-18 01:09	07-20 19:41	cpe(nvd/vulncheck/jvn...)	21	67	M+N	1	15.2
2026-07-20 13:39	07-20 19:41	debian-security-tracker	4	6	M+N	1	5.8
2026-07-22 01:14	07-22 19:15	cpe(nvd/vulncheck/jvn...)	8	18	M+N	2	204.5
2026-07-22 18:51	07-22 19:15	redhat-vex	2	0	M+N	1	10.3
2026-07-24 02:32	07-25 08:03	fedora-api	11	30	M+N	1	273.2
2026-07-25 19:04	07-28 19:20	cpe(nvd/vulncheck/jvn...)	15	72	M+N	2	17.3
2026-07-28 14:02	07-28 19:20	debian-security-tracker	2	5	N	1	5.2
2026-07-31 08:46	08-03 01:20	cpe(nvd/vulncheck/jvn...)	17	65	M+N	2	10.6
2026-08-01 12:45	08-03 01:20	microsoft-cvrf	12	37	M+N	6	25.9
2026-08-04 19:13	08-05 01:13	suse-oval	3	6	M+N	3	16.1
2026-08-05 13:27	08-05 19:26	amazon	3	6	M+N	1	5.1
2026-08-06 08:08	08-06 23:55	microsoft-cvrf	5	16	M+N	1	211.3
2026-08-06 08:32	08-10 18:37	cpe(nvd/vulncheck/jvn...)	14	106	M+N	3	135.5
2026-08-10 12:36	08-11 01:37	microsoft-cvrf	5	13	M+N	1	100.0
2026-08-13 00:49	08-14 00:48	fedora-api	8	24	M+N	2	3433.3
2026-08-13 00:49	08-14 00:48	cpe(nvd/vulncheck/jvn...)	8	24	M+N	5	81.7
2026-08-14 00:48	08-14 01:47	suse-oval	2	1	M+N	3	37.9
2026-08-15 01:07	08-16 18:25	cpe(nvd/vulncheck/jvn...)	13	41	M+N	3	30.0
2026-08-16 00:27	08-16 18:25	debian-security-tracker	8	18	M+N	3	10.5
